SYSNO,Author,Advisor,Title_Pt,Subtitle_pt,Title_En,Subtitle_en,Type,Field,Year,Keywords,Subject(Library)
722073,"Prado, Décio de Almeida","Souza, Gilda de Mello e",Joao caetano,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1971,NA,NA
722074,"Rehfeld, Walter Israel","Berlinck, Marilena de Souza Chaui",Consideracoes sobre ocorrencia de estruturas de consciencia religiosa em filosofia,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1972,NA,NA
722075,"Rodrigues, Neidson","Berlinck, Marilena de Souza Chaui",Saussure,uma revolucao na linguistica,NA,NA,Dissertação (Mestrado),FILOSOFIA,1975,NA,NA
722076,"Schutzer, Linneu de Camargo von Landgraf","Costa, João Cruz",Questao do progresso na moral de homero e hesiodo,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1955,NA,NA
722077,"Silva, Franklin Leopoldo e","Berlinck, Marilena de Souza Chaui",Ciencia e consciencia,o lugar da psicologia no pensamento de bergson,NA,NA,Dissertação (Mestrado),FILOSOFIA,1975,NA,NA
722078,"Silva, Maria Beatriz Marques Nizza da","Prado Jr., Bento",Metodologia da historia do pensamento. Analise concreta,o pensamento de silvestre pinheiro ferreira (1769-1848),NA,NA,Tese (Doutorado),FILOSOFIA,1967,NA,NA
722080,"Souza, Cicero Christiano de","Maugue, Jean",Introducao ao estudo de alguns problemas metodologicos da psicologia,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1942,NA,NA
722081,"Teixeira, Livio","Maugue, Jean",Nicolau de cusa,de docta ignorantia,NA,NA,Tese (Doutorado),FILOSOFIA,1944,NA,NA
722082,"Teixeira, Livio",NA,Ensaio sobre a moral de descarte,NA,NA,NA,Provimento de Cátedra,FILOSOFIA,1955,NA,NA
722083,"Teixeira, Livio",NA,Doutrina dos modos de percepção e o conceito de abstração na filosofia de Espinosa,NA,NA,NA,Tese (Livre Docência),FILOSOFIA,1954,NA,FILOSOFIA MODERNA
722084,"Torres Filho, Rubens Rodrigues","Berlinck, Marilena de Souza Chaui",Espirito e a letra,o papel da imaginacao na doutrina da ciencia de fichte,NA,NA,Tese (Doutorado),FILOSOFIA,1972,NA,NA
722085,"Torres Filho, Rubens Rodrigues","Giannotti, José Arthur",Finitude do eu na primeira filosofia de fichte,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1967,NA,NA
722100,"Dias, Matias Francisco","Silva, Oswaldo Porchat de Assis Pereira da",Sobre sistemas 'D AST' e d da teoria dos conjuntos,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1978,NA,NA
722228,"Moura, Jose Eduardo de Almeida","Silva, Oswaldo Porchat de Assis Pereira da",Aspectos da logica funcional paraconsistente,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1978,NA,NA
722393,"Morais, Emilia Maria Mendonça de","Monteiro, João Paulo",Paradoxos da liberdade política e pedagogia na filosofia de Rousseau,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1980,NA,NA
